country,zipcode,wmo
US,00544,725040
US,00601,PR
US,00602,PR
US,00603,PR
US,00604,PR
US,00605,PR
US,00606,PR
US,00610,PR
US,00611,PR
US,00612,PR
US,00613,PR
US,00614,PR
US,00616,PR
US,00617,PR
US,00622,PR
US,00623,PR
US,00624,PR
US,00627,PR
US,00631,PR
US,00636,PR
US,00637,PR
US,00638,PR
US,00641,PR
US,00646,PR
US,00647,PR
US,00650,PR
US,00652,PR
US,00653,PR
US,00656,PR
US,00659,PR
US,00660,PR
US,00662,PR
US,00664,PR
US,00667,PR
US,00669,PR
US,00670,PR
US,00674,PR
US,00676,PR
US,00677,PR
US,00678,PR
US,00680,PR
US,00681,PR
US,00682,PR
US,00683,PR
US,00685,PR
US,00687,PR
US,00688,PR
US,00690,PR
US,00692,PR
US,00693,PR
US,00694,PR
US,00698,PR
US,00703,PR
US,00704,PR
US,00705,PR
US,00707,PR
US,00714,PR
US,00715,PR
US,00716,PR
US,00717,PR
US,00718,PR
US,00719,PR
US,00720,PR
US,00721,PR
US,00723,PR
US,00725,PR
US,00726,PR
US,00727,PR
US,00728,PR
US,00729,PR
US,00730,PR
US,00731,PR
US,00732,PR
US,00733,PR
US,00734,PR
US,00735,PR
US,00736,PR
US,00737,PR
US,00738,PR
US,00739,PR
US,00740,PR
US,00741,PR
US,00742,PR
US,00744,PR
US,00745,PR
US,00751,PR
US,00754,PR
US,00757,PR
US,00765,PR
US,00766,PR
US,00767,PR
US,00769,PR
US,00771,PR
US,00772,PR
US,00773,PR
US,00775,PR
US,00777,PR
US,00778,PR
US,00780,PR
US,00782,PR
US,00783,PR
US,00784,PR
US,00785,PR
US,00786,PR
US,00791,PR
US,00792,PR
US,00794,PR
US,00795,PR
US,00801,VI
US,00802,VI
US,00803,VI
US,00804,VI
US,00805,VI
US,00820,VI
US,00821,VI
US,00822,VI
US,00823,VI
US,00824,VI
US,00830,VI
US,00831,VI
US,00840,VI
US,00841,VI
US,00850,VI
US,00851,VI
US,00901,PR
US,00902,PR
US,00906,PR
US,00907,PR
US,00908,PR
US,00909,PR
US,00910,PR
US,00911,PR
US,00912,PR
US,00913,PR
US,00914,PR
US,00915,PR
US,00916,PR
US,00917,PR
US,00918,PR
US,00919,PR
US,00920,PR
US,00921,PR
US,00922,PR
US,00923,PR
US,00924,PR
US,00925,PR
US,00926,PR
US,00927,PR
US,00928,PR
US,00929,PR
US,00930,PR
US,00931,PR
US,00933,PR
US,00934,PR
US,00935,PR
US,00936,PR
US,00937,PR
US,00939,PR
US,00940,PR
US,00949,PR
US,00950,PR
US,00951,PR
US,00952,PR
US,00953,PR
US,00954,PR
US,00955,PR
US,00956,PR
US,00957,PR
US,00958,PR
US,00959,PR
US,00960,PR
US,00961,PR
US,00962,PR
US,00963,PR
US,00965,PR
US,00966,PR
US,00968,PR
US,00969,PR
US,00970,PR
US,00971,PR
US,00975,PR
US,00976,PR
US,00977,PR
US,00978,PR
US,00979,PR
US,00981,PR
US,00982,PR
US,00983,PR
US,00984,PR
US,00985,PR
US,00986,PR
US,00987,PR
US,00988,PR
US,01001,725080
US,01002,725080
US,01003,725080
US,01004,725080
US,01005,725095
US,01007,725080
US,01008,725080
US,01009,725095
US,01010,725095
US,01011,725080
US,01012,725095
US,01013,725080
US,01014,725080
US,01020,725080
US,01021,725080
US,01022,725080
US,01026,725080
US,01027,725080
US,01028,725080
US,01029,725080
US,01030,725080
US,01031,725095
US,01032,725095
US,01033,725080
US,01034,725080
US,01035,725080
US,01036,725080
US,01037,725095
US,01038,725080
US,01039,725080
US,01040,725080
US,01041,725080
US,01050,725080
US,01053,725080
US,01054,725095
US,01056,725080
US,01057,725080
US,01059,725080
US,01060,725080
US,01061,725080
US,01062,725080
US,01063,725080
US,01066,725080
US,01068,725095
US,01069,725080
US,01070,725080
US,01071,725080
US,01072,725095
US,01073,725080
US,01074,725095
US,01075,725080
US,01077,725080
US,01079,725080
US,01080,725080
US,01081,725095
US,01082,725095
US,01083,725095
US,01084,725095
US,01085,725080
US,01086,725080
US,01088,725080
US,01089,725080
US,01090,725080
US,01092,725095
US,01093,725080
US,01094,725095
US,01095,725080
US,01096,725095
US,01097,725080
US,01098,725080
US,01101,725080
US,01102,725080
US,01103,725080
US,01104,725080
US,01105,725080
US,01106,725080
US,01107,725080
US,01108,725080
US,01109,725080
US,01111,725080
US,01115,725080
US,01116,725080
US,01118,725080
US,01119,725080
US,01128,725080
US,01129,725080
US,01133,725080
US,01138,725080
US,01139,725080
US,01144,725080
US,01151,725080
US,01152,725080
US,01195,725080
US,01199,725080
US,01201,725180
US,01202,725180
US,01203,725180
US,01220,725180
US,01222,725080
US,01223,725080
US,01224,725180
US,01225,725180
US,01226,725180
US,01227,725180
US,01229,725180
US,01230,725080
US,01235,725080
US,01236,725080
US,01237,725180
US,01238,725180
US,01240,725180
US,01242,725180
US,01243,725080
US,01244,725080
US,01245,725080
US,01247,725180
US,01252,725080
US,01253,725080
US,01254,725180
US,01255,725080
US,01256,725180
US,01257,725080
US,01258,725080
US,01259,725080
US,01260,725180
US,01262,725180
US,01263,725180
US,01264,725080
US,01266,725180
US,01267,725180
US,01270,725180
US,01301,725080
US,01302,725080
US,01330,725095
US,01331,725095
US,01337,725080
US,01338,725095
US,01339,725180
US,01340,725095
US,01341,725095
US,01342,725080
US,01343,725180
US,01344,725080
US,01346,725180
US,01347,725080
US,01349,725080
US,01350,725180
US,01351,725080
US,01354,725095
US,01355,725095
US,01360,725095
US,01364,725095
US,01366,725095
US,01367,725180
US,01368,725095
US,01370,725095
US,01373,725080
US,01375,725080
US,01376,725080
US,01378,725095
US,01379,725095
US,01380,725095
US,01420,725095
US,01430,725095
US,01431,725095
US,01432,725090
US,01434,725095
US,01436,725095
US,01438,725095
US,01440,725095
US,01441,725095
US,01450,725090
US,01451,725090
US,01452,725095
US,01453,725095
US,01460,725090
US,01462,725095
US,01463,725090
US,01464,725095
US,01467,725095
US,01468,725095
US,01469,725095
US,01470,725090
US,01471,725090
US,01472,725095
US,01473,725095
US,01474,725095
US,01475,725095
US,01477,725095
US,01501,725095
US,01503,725095
US,01504,725070
US,01505,725095
US,01506,725095
US,01507,725095
US,01508,725095
US,01509,725095
US,01510,725095
US,01515,725095
US,01516,725095
US,01517,725095
US,01518,725095
US,01519,725095
US,01520,725095
US,01521,725095
US,01522,725095
US,01523,725095
US,01524,725095
US,01525,725095
US,01526,725095
US,01527,725095
US,01529,725070
US,01531,725095
US,01532,725095
US,01534,725095
US,01535,725095
US,01536,725095
US,01537,725095
US,01538,725095
US,01540,725095
US,01541,725095
US,01542,725095
US,01543,725095
US,01545,725095
US,01546,725095
US,01550,725095
US,01560,725095
US,01561,725095
US,01562,725095
US,01564,725095
US,01566,725095
US,01568,725095
US,01569,725070
US,01570,725095
US,01571,725095
US,01580,725095
US,01581,725095
US,01582,725095
US,01583,725095
US,01585,725095
US,01586,725095
US,01588,725095
US,01590,725095
US,01601,725095
US,01602,725095
US,01603,725095
US,01604,725095
US,01605,725095
US,01606,725095
US,01607,725095
US,01608,725095
US,01609,725095
US,01610,725095
US,01611,725095
US,01612,725095
US,01613,725095
US,01614,725095
US,01615,725095
US,01653,725095
US,01654,725095
US,01655,725095
US,01701,725090
US,01702,725090
US,01703,725090
US,01704,725090
US,01705,725090
US,01718,725090
US,01719,725090
US,01720,725090
US,01721,725090
US,01730,725090
US,01731,725090
US,01740,725095
US,01741,725090
US,01742,725090
US,01745,725090
US,01746,725090
US,01747,725095
US,01748,725095
US,01749,725095
US,01752,725095
US,01754,725090
US,01756,725095
US,01757,725095
US,01760,725090
US,01770,725090
US,01772,725095
US,01773,725090
US,01775,725090
US,01776,725090
US,01778,725090
US,01784,725095
US,01801,725090
US,01803,725090
US,01805,725090
US,01806,725090
US,01807,725090
US,01808,725090
US,01810,725090
US,01812,725090
US,01813,725090
US,01815,725090
US,01821,725090
US,01822,725090
US,01824,725090
US,01826,725090
US,01827,725090
US,01830,725090
US,01831,725090
US,01832,725090
US,01833,725090
US,01834,725090
US,01835,725090
US,01840,725090
US,01841,725090
US,01842,725090
US,01843,725090
US,01844,725090
US,01845,725090
US,01850,725090
US,01851,725090
US,01852,725090
US,01853,725090
US,01854,725090
US,01860,725090
US,01862,725090
US,01863,725090
US,01864,725090
US,01865,725090
US,01866,725090
US,01867,725090
US,01876,725090
US,01879,725090
US,01880,725090
US,01885,725090
US,01886,725090
US,01887,725090
US,01888,725090
US,01889,725090
US,01890,725090
US,01899,725090
US,01901,725090
US,01902,725090
US,01903,725090
US,01904,725090
US,01905,725090
US,01906,725090
US,01907,725090
US,01908,725090
US,01910,725090
US,01913,725090
US,01915,725090
US,01921,725090
US,01922,725090
US,01923,725090
US,01929,725090
US,01930,725090
US,01931,725090
US,01936,725090
US,01937,725090
US,01938,725090
US,01940,725090
US,01944,725090
US,01945,725090
US,01949,725090
US,01950,725090
US,01951,725090
US,01952,725090
US,01960,725090
US,01961,725090
US,01965,725090
US,01966,725090
US,01969,725090
US,01970,725090
US,01971,725090
US,01982,725090
US,01983,725090
US,01984,725090
US,01985,725090
US,02018,725090
US,02019,725070
US,02020,725090
US,02021,725090
US,02025,725090
US,02026,725090
US,02027,725090
US,02030,725090
US,02031,725090
US,02032,725090
US,02035,725070
US,02038,725070
US,02040,725090
US,02041,725090
US,02043,725090
US,02044,725090
US,02045,725090
US,02047,725090
US,02048,725070
US,02050,725090
US,02051,725090
US,02052,725090
US,02053,725095
US,02054,725090
US,02055,725090
US,02056,725090
US,02059,725090
US,02060,725090
US,02061,725090
US,02062,725090
US,02065,725090
US,02066,725090
US,02067,725090
US,02070,725070
US,02071,725070
US,02072,725090
US,02081,725090
US,02090,725090
US,02093,725070
US,02108,725090
US,02109,725090
US,02110,725090
US,02111,725090
US,02112,725090
US,02113,725090
US,02114,725090
US,02115,725090
US,02116,725090
US,02117,725090
US,02118,725090
US,02119,725090
US,02120,725090
US,02121,725090
US,02122,725090
US,02123,725090
US,02124,725090
US,02125,725090
US,02126,725090
US,02127,725090
US,02128,725090
US,02129,725090
US,02130,725090
US,02131,725090
US,02132,725090
US,02133,725090
US,02134,725090
US,02135,725090
US,02136,725090
US,02137,725090
US,02138,725090
US,02139,725090
US,02140,725090
US,02141,725090
US,02142,725090
US,02143,725090
US,02144,725090
US,02145,725090
US,02148,725090
US,02149,725090
US,02150,725090
US,02151,725090
US,02152,725090
US,02153,725090
US,02155,725090
US,02156,725090
US,02163,725090
US,02169,725090
US,02170,725090
US,02171,725090
US,02176,725090
US,02180,725090
US,02184,725090
US,02185,725090
US,02186,725090
US,02187,725090
US,02188,725090
US,02189,725090
US,02190,725090
US,02191,725090
US,02196,725090
US,02199,725090
US,02201,725090
US,02203,725090
US,02204,725090
US,02205,725090
US,02206,725090
US,02207,725090
US,02210,725090
US,02211,725090
US,02212,725090
US,02215,725090
US,02216,725090
US,02217,725090
US,02222,725090
US,02228,725090
US,02238,725090
US,02239,725090
US,02241,725090
US,02266,725090
US,02269,725090
US,02283,725090
US,02284,725090
US,02293,725090
US,02295,725090
US,02297,725090
US,02298,725090
US,02301,725090
US,02302,725090
US,02303,725090
US,02304,725090
US,02305,725090
US,02322,725090
US,02324,725090
US,02325,725090
US,02327,725090
US,02330,725070
US,02331,725090
US,02332,725090
US,02333,725090
US,02334,725090
US,02337,725090
US,02338,725070
US,02339,725090
US,02340,725090
US,02341,725090
US,02343,725090
US,02344,725070
US,02345,725090
US,02346,725070
US,02347,725070
US,02348,725070
US,02349,725070
US,02350,725090
US,02351,725090
US,02355,725090
US,02356,725090
US,02357,725090
US,02358,725090
US,02359,725090
US,02360,725090
US,02361,725090
US,02362,725090
US,02364,725090
US,02366,725070
US,02367,725070
US,02368,725090
US,02370,725090
US,02375,725090
US,02379,725090
US,02381,725090
US,02382,725090
US,02420,725090
US,02421,725090
US,02445,725090
US,02446,725090
US,02447,725090
US,02451,725090
US,02452,725090
US,02453,725090
US,02454,725090
US,02455,725090
US,02456,725090
US,02457,725090
US,02458,725090
US,02459,725090
US,02460,725090
US,02461,725090
US,02462,725090
US,02464,725090
US,02465,725090
US,02466,725090
US,02467,725090
US,02468,725090
US,02471,725090
US,02472,725090
US,02474,725090
US,02475,725090
US,02476,725090
US,02477,725090
US,02478,725090
US,02479,725090
US,02481,725090
US,02482,725090
US,02492,725090
US,02493,725090
US,02494,725090
US,02495,725090
US,02532,725090
US,02534,725070
US,02535,725070
US,02536,725070
US,02537,725090
US,02538,725090
US,02539,725070
US,02540,725070
US,02541,725070
US,02542,725090
US,02543,725070
US,02552,725070
US,02553,725070
US,02554,725070
US,02556,725070
US,02557,725070
US,02558,725090
US,02559,725070
US,02561,725070
US,02562,725070
US,02563,725090
US,02564,725070
US,02565,725070
US,02568,725070
US,02571,725070
US,02573,725070
US,02574,725070
US,02575,725070
US,02576,725070
US,02584,725070
US,02601,725090
US,02630,725090
US,02631,725070
US,02632,725070
US,02633,725090
US,02634,725070
US,02635,725070
US,02636,725070
US,02637,725090
US,02638,725090
US,02639,725090
US,02641,725090
US,02642,725090
US,02643,725090
US,02644,725070
US,02645,725090
US,02646,725090
US,02647,725090
US,02648,725070
US,02649,725070
US,02650,725090
US,02651,725090
US,02652,725090
US,02653,725090
US,02655,725070
US,02657,725090
US,02659,725090
US,02660,725090
US,02661,725090
US,02662,725090
US,02663,725090
US,02664,725090
US,02666,725090
US,02667,725090
US,02668,725090
US,02669,725090
US,02670,725090
US,02671,725090
US,02672,725070
US,02673,725090
US,02675,725090
US,02702,725070
US,02703,725070
US,02712,725070
US,02713,725070
US,02714,725070
US,02715,725070
US,02717,725070
US,02718,725070
US,02719,725070
US,02720,725070
US,02721,725070
US,02722,725070
US,02723,725070
US,02724,725070
US,02725,725070
US,02726,725070
US,02738,725070
US,02739,725070
US,02740,725070
US,02741,725070
US,02742,725070
US,02743,725070
US,02744,725070
US,02745,725070
US,02746,725070
US,02747,725070
US,02748,725070
US,02760,725070
US,02761,725070
US,02762,725070
US,02763,725070
US,02764,725070
US,02766,725070
US,02767,725070
US,02768,725070
US,02769,725070
US,02770,725070
US,02771,725070
US,02777,725070
US,02779,725070
US,02780,725070
US,02783,725070
US,02790,725070
US,02791,725070
US,02801,725070
US,02802,725070
US,02804,725070
US,02806,725070
US,02807,725070
US,02808,725070
US,02809,725070
US,02812,725070
US,02813,725070
US,02814,725095
US,02815,725070
US,02816,725070
US,02817,725070
US,02818,725070
US,02822,725070
US,02823,725070
US,02824,725070
US,02825,725070
US,02826,725070
US,02827,725070
US,02828,725070
US,02829,725070
US,02830,725070
US,02831,725070
US,02832,725070
US,02833,725070
US,02835,725070
US,02836,725070
US,02837,725070
US,02838,725070
US,02839,725070
US,02840,725070
US,02841,725070
US,02842,725070
US,02852,725070
US,02854,725070
US,02857,725070
US,02858,725070
US,02859,725070
US,02860,725070
US,02861,725070
US,02862,725070
US,02863,725070
US,02864,725070
US,02865,725070
US,02871,725070
US,02872,725070
US,02873,725070
US,02874,725070
US,02875,725070
US,02876,725070
US,02877,725070
US,02878,725070
US,02879,725070
US,02880,725070
US,02881,725070
US,02882,725070
US,02883,725070
US,02885,725070
US,02886,725070
US,02887,725070
US,02888,725070
US,02889,725070
US,02891,725070
US,02892,725070
US,02893,725070
US,02894,725070
US,02895,725070
US,02896,725070
US,02898,725070
US,02901,725070
US,02902,725070
US,02903,725070
US,02904,725070
US,02905,725070
US,02906,725070
US,02907,725070
US,02908,725070
US,02909,725070
US,02910,725070
US,02911,725070
US,02912,725070
US,02914,725070
US,02915,725070
US,02916,725070
US,02917,725070
US,02918,725070
US,02919,725070
US,02920,725070
US,02921,725070
US,02940,725070
US,03031,726050
US,03032,726050
US,03033,726050
US,03034,726050
US,03036,726050
US,03037,726050
US,03038,726050
US,03040,726050
US,03041,726050
US,03042,726050
US,03043,726050
US,03044,726050
US,03045,726050
US,03046,726050
US,03047,726050
US,03048,726050
US,03049,726050
US,03051,726050
US,03052,726050
US,03053,726050
US,03054,726050
US,03055,726050
US,03057,726050
US,03060,726050
US,03061,726050
US,03062,726050
US,03063,726050
US,03064,726050
US,03070,726050
US,03071,725095
US,03073,726050
US,03076,726050
US,03077,726050
US,03079,725090
US,03082,726050
US,03084,726050
US,03086,726050
US,03087,726050
US,03101,726050
US,03102,726050
US,03103,726050
US,03104,726050
US,03105,726050
US,03106,726050
US,03107,726050
US,03108,726050
US,03109,726050
US,03110,726050
US,03111,726050
US,03215,726050
US,03216,726050
US,03217,726050
US,03218,726050
US,03220,726050
US,03221,726050
US,03222,726050
US,03223,726050
US,03224,726050
US,03225,726050
US,03226,726050
US,03227,726050
US,03229,726050
US,03230,726050
US,03231,726050
US,03233,726050
US,03234,726050
US,03235,726050
US,03237,726050
US,03238,726050
US,03240,726050
US,03241,726050
US,03242,726050
US,03243,726050
US,03244,726050
US,03245,726050
US,03246,726050
US,03247,726050
US,03249,726050
US,03251,726050
US,03252,726050
US,03253,726050
US,03254,726050
US,03255,726050
US,03256,726050
US,03257,726050
US,03258,726050
US,03259,726050
US,03260,726050
US,03261,726050
US,03262,726050
US,03263,726050
US,03264,726050
US,03266,726050
US,03268,726050
US,03269,726050
US,03272,726050
US,03273,726050
US,03274,726050
US,03275,726050
US,03276,726050
US,03278,726050
US,03279,726050
US,03280,726050
US,03281,726050
US,03282,726050
US,03284,726050
US,03285,726050
US,03287,726050
US,03289,726050
US,03290,726050
US,03291,726050
US,03293,726050
US,03298,726050
US,03299,726050
US,03301,726050
US,03302,726050
US,03303,726050
US,03304,726050
US,03305,726050
US,03307,726050
US,03431,725095
US,03435,725095
US,03440,726050
US,03441,725095
US,03442,726050
US,03443,725095
US,03444,726050
US,03445,726050
US,03446,725095
US,03447,725095
US,03448,726050
US,03449,726050
US,03450,726050
US,03451,725095
US,03452,725095
US,03455,725095
US,03456,726050
US,03457,725095
US,03458,726050
US,03461,725095
US,03462,726050
US,03464,726050
US,03465,725095
US,03466,726050
US,03467,726050
US,03468,726050
US,03469,726050
US,03470,725095
US,03561,726170
US,03570,726060
US,03574,726050
US,03575,726170
US,03576,726170
US,03579,726060
US,03580,726170
US,03581,726060
US,03582,726170
US,03583,726060
US,03584,726170
US,03585,726170
US,03586,726170
US,03588,726060
US,03589,726060
US,03590,726170
US,03592,726170
US,03593,726060
US,03595,726060
US,03597,726170
US,03598,726170
US,03601,726050
US,03602,726050
US,03603,726050
US,03604,726050
US,03605,726050
US,03607,726050
US,03608,726050
US,03609,726050
US,03740,726170
US,03741,726050
US,03743,726050
US,03745,726050
US,03746,726050
US,03748,726050
US,03749,726050
US,03750,726050
US,03751,726050
US,03752,726050
US,03753,726050
US,03754,726050
US,03755,726050
US,03756,726050
US,03765,726170
US,03766,726050
US,03768,726050
US,03769,726050
US,03770,726050
US,03771,726170
US,03773,726050
US,03774,726050
US,03777,726050
US,03779,726050
US,03780,726050
US,03781,726050
US,03782,726050
US,03784,726050
US,03785,726170
US,03801,725090
US,03802,725090
US,03803,725090
US,03804,725090
US,03805,726050
US,03809,726050
US,03810,726050
US,03811,726050
US,03812,726060
US,03813,726060
US,03814,726050
US,03815,726050
US,03816,726050
US,03817,726050
US,03818,726060
US,03819,726050
US,03820,726050
US,03821,726050
US,03822,726050
US,03823,726050
US,03824,726050
US,03825,726050
US,03826,726050
US,03827,726050
US,03830,726050
US,03832,726060
US,03833,726050
US,03835,726050
US,03836,726050
US,03837,726050
US,03838,726060
US,03839,726050
US,03840,726050
US,03841,726050
US,03842,725090
US,03843,725090
US,03844,725090
US,03845,726060
US,03846,726060
US,03847,726060
US,03848,726050
US,03849,726050
US,03850,726050
US,03851,726050
