usaf,usaf_latitude,usaf_longitude
727470,48.567,-93.4
727970,47.933,-124.56700000000001
727930,47.467,-122.31700000000001
727810,46.567,-120.55
727850,47.49,-117.589
727790,48.317,-114.25
727730,46.917,-114.1
727796,48.6,-112.367
727680,48.217,-106.617
727676,48.266999999999996,-101.28299999999999
727640,46.77,-100.77
727530,46.933,-96.81700000000001
727750,47.467,-111.383
726880,45.7,-118.833
726776,47.05,-109.45
727450,46.833,-92.21700000000001
727340,46.467,-84.35
742300,46.433,-105.883
726435,44.867,-91.48299999999999
727120,46.867,-68.033
727920,46.967,-122.9
727720,46.6,-111.96700000000001
726450,44.483000000000004,-88.133
726387,44.733000000000004,-85.583
726770,45.8,-108.55
727910,46.15,-123.883
726550,45.55,-94.05
726380,44.367,-84.68299999999999
726980,45.6,-122.617
726620,44.05,-103.05
726540,44.4,-98.21700000000001
726810,43.62,-116.21
726686,44.383,-100.28299999999999
726580,44.883,-93.23299999999999
726390,45.067,-83.583
726660,44.766999999999996,-106.96700000000001
726170,44.467,-73.15
726830,43.52,-119.02
726060,43.65,-70.3
726940,44.9,-123.0
726835,44.25,-121.167
726223,44.933,-74.85
726510,43.583,-96.75
726050,43.2,-71.5
725780,42.917,-112.56700000000001
725760,42.817,-108.73299999999999
726930,44.05,-123.07
725290,43.117,-77.683
726917,43.417,-124.25
726440,43.9,-92.5
726430,43.867,-91.25
725190,43.117,-76.1
726410,43.13,-89.33
725690,42.9,-106.46700000000001
725485,43.15,-93.333
726360,43.167,-86.23299999999999
725744,41.46,-109.44
726350,42.883,-85.51700000000001
726370,42.967,-83.75
725370,42.217,-83.35
726400,42.95,-87.9
725180,42.75,-73.8
725280,42.933,-78.733
725660,41.867,-103.6
725390,42.783,-84.583
725970,42.19,-122.7
725620,41.117,-100.667
725560,41.983000000000004,-97.43299999999999
725095,42.266999999999996,-71.883
725570,42.383,-96.383
725480,42.55,-92.4
725260,42.083,-80.183
725090,42.367,-71.017
725150,42.2,-75.983
725500,41.317,-95.9
725520,40.967,-98.31700000000001
725430,42.2,-89.1
725080,41.933,-72.683
725830,40.9,-117.8
725440,41.467,-90.51700000000001
725300,41.983000000000004,-87.917
725266,41.8,-78.633
725825,40.833,-115.8
725460,41.533,-93.667
725350,41.7,-86.333
725140,41.25,-76.917
725640,41.15,-104.8
725945,40.983000000000004,-124.1
724880,39.483000000000004,-119.76700000000001
725360,41.583,-83.8
725240,41.4,-81.85
725070,41.717,-71.433
725720,40.77,-111.97
725330,41.0,-85.2
725130,41.333,-75.733
725250,41.25,-80.667
725040,41.183,-73.15
725200,40.5,-80.233
744860,40.65,-73.8
725020,40.717,-74.183
724675,39.65,-106.917
725320,40.667,-89.68299999999999
724650,39.367,-101.7
725246,40.817,-82.51700000000001
725210,40.917,-81.433
725170,40.65,-75.45
724699,40.13,-105.24
724860,39.3,-114.85
724290,39.9,-84.21700000000001
724280,39.983000000000004,-82.883
724380,39.717,-86.26700000000001
725118,40.217,-76.85
724560,39.067,-95.633
724460,39.3,-94.71700000000001
724450,38.817,-92.21700000000001
724390,39.85,-89.68299999999999
724760,39.133,-108.53299999999999
724340,38.75,-90.367
724170,38.883,-79.85
724080,39.867,-75.233
724830,38.5,-121.5
724089,39.667,-75.6
724070,39.45,-74.567
724640,38.283,-104.5
724030,38.98,-77.47
724855,38.067,-117.083
724210,39.05,-84.667
724140,38.383,-81.583
724660,38.817,-104.71700000000001
724500,37.65,-97.43299999999999
724060,39.167,-76.683
724510,37.766999999999996,-99.96700000000001
724755,37.7,-113.1
724250,38.383,-82.55
724320,38.05,-87.53299999999999
724940,37.617,-122.4
